Name,Season,Tm,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Austin Daye,2013-14,SAS,SF,14.0,1.0,115.0,9.2,24.2,0.382,1.8,3.1,0.5710000000000001,1.3,7.5,8.8,2.6,1.8,1.8,2.2,6.2,25.5,98.0,101.0
Austin Daye,2014-15,SAS,SF,17.0,1.0,182.0,6.5,23.0,0.284,0.6,0.6,1.0,0.9,10.2,11.1,2.3,2.0,0.9,4.3,6.5,16.7,68.0,99.0
Austin Daye,Career,,,276.0,26.0,3970.0,7.3,18.2,0.4,2.7,3.4,0.779,1.8,8.0,9.8,2.7,1.5,1.6,2.6,6.3,19.6,99.0,107.0
Austin Daye,,,,,,,,,,,,,,,,,,,,,,,
Austin Daye,4,DET,,206.0,24.0,3312.0,7.2,17.7,0.409,2.9,3.7,0.7909999999999999,2.0,7.8,9.8,2.7,1.5,1.5,2.6,6.2,19.5,101.0,109.0
Austin Daye,1,MEM,,31.0,0.0,328.0,7.8,18.4,0.423,1.8,2.6,0.688,1.0,8.9,9.9,3.5,1.5,2.3,2.6,6.5,20.7,104.0,99.0
Austin Daye,2,SAS,,31.0,2.0,297.0,7.6,23.4,0.324,1.0,1.6,0.667,1.0,9.1,10.2,2.4,1.9,1.2,3.4,6.4,20.2,80.0,100.0
Austin Daye,1,TOR,,8.0,0.0,33.0,4.8,20.6,0.231,3.2,4.8,0.667,3.2,7.9,11.1,3.2,0.0,0.0,0.0,6.3,12.7,79.0,109.0
Thaddeus Young,2007-08,PHI,PF,74.0,22.0,1554.0,9.0,16.7,0.539,2.6,3.5,0.738,4.1,6.6,10.7,2.0,2.5,0.3,2.2,4.3,20.8,115.0,106.0
Thaddeus Young,2008-09,PHI,PF,75.0,71.0,2580.0,9.8,19.9,0.495,2.9,3.9,0.735,2.9,4.9,7.8,1.8,2.1,0.5,2.4,3.4,23.7,110.0,109.0
Thaddeus Young,2009-10,PHI,PF,67.0,45.0,2145.0,9.3,19.9,0.47,2.8,4.0,0.691,3.2,5.4,8.6,2.4,2.0,0.4,3.1,3.3,22.6,102.0,111.0
Thaddeus Young,2010-11,PHI,PF,82.0,1.0,2135.0,11.2,20.8,0.541,3.0,4.3,0.7070000000000001,3.8,6.9,10.6,2.0,2.2,0.6,2.4,4.2,25.6,110.0,104.0
Thaddeus Young,2011-12,PHI,PF,63.0,1.0,1755.0,10.6,21.0,0.507,3.4,4.4,0.7709999999999999,4.2,5.7,9.9,2.3,2.0,1.3,1.7,3.9,24.6,111.0,100.0
Thaddeus Young,2012-13,PHI,PF,76.0,76.0,2629.0,10.2,19.2,0.531,2.2,3.8,0.574,3.7,7.8,11.5,2.5,2.7,1.1,1.8,3.8,22.6,109.0,103.0
Thaddeus Young,2013-14,PHI,PF,79.0,78.0,2718.0,10.4,22.9,0.45399999999999996,2.9,4.1,0.7120000000000001,3.0,5.5,8.5,3.2,3.0,0.6,2.9,3.8,25.2,101.0,108.0
Thaddeus Young,2014-15,MIN,PF,19.0,19.0,620.0,9.4,20.6,0.457,2.7,4.8,0.5760000000000001,1.9,5.2,7.1,2.9,2.5,0.7,2.5,3.7,22.2,97.0,111.0
Thaddeus Young,Career,,,535.0,313.0,16136.0,10.1,20.3,0.498,2.8,4.0,0.6940000000000001,3.4,6.1,9.4,2.4,2.4,0.7,2.4,3.8,23.7,107.0,106.0
Thaddeus Young,,,,,,,,,,,,,,,,,,,,,,,
Thaddeus Young,7,PHI,,516.0,294.0,15516.0,10.1,20.3,0.5,2.8,4.0,0.7,3.4,6.1,9.5,2.4,2.4,0.7,2.4,3.8,23.7,108.0,106.0
Thaddeus Young,1,MIN,,19.0,19.0,620.0,9.4,20.6,0.457,2.7,4.8,0.5760000000000001,1.9,5.2,7.1,2.9,2.5,0.7,2.5,3.7,22.2,97.0,111.0
Kostas Papanikolaou,2014-15,HOU,SF,20.0,1.0,508.0,5.0,13.4,0.373,1.0,1.4,0.7140000000000001,2.9,5.4,8.3,6.1,1.7,1.0,3.5,4.7,13.0,98.0,102.0
Kostas Papanikolaou,Career,,,20.0,1.0,508.0,5.0,13.4,0.373,1.0,1.4,0.7140000000000001,2.9,5.4,8.3,6.1,1.7,1.0,3.5,4.7,13.0,98.0,102.0
Kevin Love,2008-09,MIN,C,81.0,37.0,2048.0,8.1,17.6,0.45899999999999996,6.8,8.6,0.789,7.0,11.8,18.8,2.1,0.9,1.3,3.0,5.2,23.0,112.0,109.0
